Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000018593,Sparc,Gene Expression,0.7352443177859974,0.0,0.0,65791,14.564065875308312,4126
ENSMUSG00000031980,Agt,Gene Expression,0.7349166179842794,0.0,0.0,21380,5.294223725058803,2838
ENSMUSG00000022602,Arc,Gene Expression,0.733722996191872,0.0,0.0,26800,5.497526878459862,2941
ENSMUSG00000025372,Baiap2,Gene Expression,0.7298335141106188,0.0,0.0,38613,6.606536091002332,3019
ENSMUSG00000039114,Nrn1,Gene Expression,0.7284789258592045,0.0,0.0,67023,11.497563383111881,3496
ENSMUSG00000032238,Rora,Gene Expression,0.7281482500959393,0.0,0.0,21735,5.097689324398272,3231
ENSMUSG00000049892,Rasd1,Gene Expression,0.7273222928023418,0.0,0.0,9431,1.8619637656488082,1826
ENSMUSG00000031425,Plp1,Gene Expression,0.7263401927128997,0.0,0.0,131922,58.92980526116015,4168
ENSMUSG00000042607,Asb4,Gene Expression,0.7238639811372148,0.0,0.0,2986,0.3276598976777262,485
ENSMUSG00000067879,Vxn,Gene Expression,0.7219800937334584,0.0,0.0,26241,4.978083538573919,2723
ENSMUSG00000026259,Ngef,Gene Expression,0.7214145784239543,0.0,0.0,34621,6.678792541829947,3261
ENSMUSG00000039943,Plcb4,Gene Expression,0.7178812721636679,0.0,0.0,17105,3.8143497151422605,2952
ENSMUSG00000010825,Grid2ip,Gene Expression,0.7169088728418106,0.0,0.0,2935,0.7284406379148606,1023
ENSMUSG00000027270,Lamp5,Gene Expression,0.715721483441759,0.0,0.0,11898,2.1826977761111244,1906
ENSMUSG00000042816,Gpr151,Gene Expression,0.7155305294781101,0.0,0.0,1733,0.27191262949895767,197
ENSMUSG00000040856,Dlk1,Gene Expression,0.7153887221774123,0.0,0.0,4134,0.534037582453139,710
ENSMUSG00000036198,Arhgap36,Gene Expression,0.7126050065248,0.0,0.0,6350,0.8057640997369611,835
ENSMUSG00000018339,Gpx3,Gene Expression,0.7122888290441356,0.0,0.0,7714,1.0445717877737273,1089
ENSMUSG00000048349,Pou4f1,Gene Expression,0.7119962797060485,0.0,0.0,515,0.07471263223899502,88
ENSMUSG00000038331,Satb2,Gene Expression,0.7101682619772779,0.0,0.0,4810,0.9043818999647124,1163
ENSMUSG00000046093,Hpcal4,Gene Expression,0.7097435570250665,0.0,0.0,50759,9.206991565748755,3505
ENSMUSG00000036699,Zcchc12,Gene Expression,0.7095831005640485,0.0,0.0,25799,3.9988998886274363,2687
ENSMUSG00000036357,Gpr101,Gene Expression,0.7073475604167642,0.0,0.0,4409,0.5447928425034149,804
ENSMUSG00000067786,Nnat,Gene Expression,0.7057058357542974,0.0,0.0,59906,10.536288662854112,3299
ENSMUSG00000020262,Adarb1,Gene Expression,0.7047903554818487,0.0,0.0,36786,8.427341839414519,3789
ENSMUSG00000024661,Fth1,Gene Expression,0.7046353432183741,0.0,0.0,284831,95.99800799706027,4296
ENSMUSG00000058624,Gda,Gene Expression,0.7036251225823581,0.0,0.0,19839,3.286149577885559,2494
ENSMUSG00000032890,Rims3,Gene Expression,0.7032180668596241,0.0,0.0,23882,4.897046284575152,3262
ENSMUSG00000028785,Hpca,Gene Expression,0.70288590004344,0.0,0.0,95498,14.197073684606888,3634
ENSMUSG00000024907,Gal,Gene Expression,0.7023878266465912,0.0,0.0,6763,0.8232296373334873,685
ENSMUSG00000032554,Trf,Gene Expression,0.7007750558912734,0.0,0.0,28068,11.958651017685519,3650
ENSMUSG00000036634,Mag,Gene Expression,0.6989998495380528,0.0,0.0,31458,13.81021736877156,3530
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.6969408545177846,0.0,0.0,348065,67.99550050851931,4297
ENSMUSG00000013076,Amotl1,Gene Expression,0.6951695362565432,0.0,0.0,10550,2.354986788290341,2360
ENSMUSG00000085007,Gm11549,Gene Expression,0.6937883912738239,0.0,0.0,3568,0.6764895529233832,1084
ENSMUSG00000092035,Peg10,Gene Expression,0.689898806531012,0.0,0.0,9307,1.2855292795089244,1433
ENSMUSG00000027375,Mal,Gene Expression,0.6848138039193167,0.0,0.0,38241,17.78405260047586,3710
ENSMUSG00000095845,Gm5741,Gene Expression,0.6845117560635078,0.0,0.0,1181,0.14185765022039484,101
ENSMUSG00000035681,Kcnc2,Gene Expression,0.6836002489330761,0.0,0.0,34479,7.503933824415437,3535
ENSMUSG00000038530,Rgs4,Gene Expression,0.6833759198743925,0.0,0.0,56951,11.366627901918166,3768
ENSMUSG00000009075,Cabp7,Gene Expression,0.6820998476965313,0.0,0.0,12764,3.573404578627345,2114
ENSMUSG00000045573,Penk,Gene Expression,0.6820823704360055,0.0,0.0,14412,3.067493273185678,1701
ENSMUSG00000048644,Ctxn1,Gene Expression,0.6795186910658869,0.0,0.0,52579,9.576918774881644,3738
ENSMUSG00000026090,2010300C02Rik,Gene Expression,0.6788299302899452,0.0,0.0,29532,4.718433210811074,2971
ENSMUSG00000005583,Mef2c,Gene Expression,0.6777237394623988,0.0,0.0,21236,3.8828376163564022,2945
ENSMUSG00000029211,Gabra4,Gene Expression,0.6776514292460454,0.0,0.0,22106,4.716903950363867,3268
ENSMUSG00000037984,Neurod6,Gene Expression,0.6770087792524893,0.0,0.0,13500,1.7780258251277623,1443
ENSMUSG00000034796,Cpne7,Gene Expression,0.6769603256891855,0.0,0.0,19876,3.694770809603666,2800
ENSMUSG00000005705,Agrp,Gene Expression,0.6739456455807435,0.0,0.0,3786,0.2640742583997778,116
ENSMUSG00000110195,Pde2a,Gene Expression,0.6736650220887849,0.0,0.0,30604,5.817354259411469,3338
ENSMUSG00000026247,Ecel1,Gene Expression,0.6736244834531276,0.0,0.0,9965,1.5199427094189308,1267
ENSMUSG00000030701,Plekhb1,Gene Expression,0.6722661591007804,0.0,0.0,60562,22.958916265281193,4259
ENSMUSG00000030772,Dkk3,Gene Expression,0.6721359456469207,0.0,0.0,19982,3.4016370237461624,2530
ENSMUSG00000032174,Icam5,Gene Expression,0.6712045486828943,0.0,0.0,18712,2.907939929776125,2394
ENSMUSG00000047261,Gap43,Gene Expression,0.6696279509056193,0.0,0.0,95266,17.14906163043048,4000
ENSMUSG00000026384,Ptpn4,Gene Expression,0.6690166254011927,0.0,0.0,26500,5.914347136426988,3590
ENSMUSG00000006782,Cnp,Gene Expression,0.6676437609609304,0.0,0.0,54481,22.58583014722777,4175
ENSMUSG00000021647,Cartpt,Gene Expression,0.6672301169992116,0.0,0.0,14625,1.9988251091776155,1229
ENSMUSG00000030307,Slc6a11,Gene Expression,0.6671710555323125,0.0,0.0,57490,12.563069572628365,4039
ENSMUSG00000026833,Olfm1,Gene Expression,0.6656105536539618,0.0,0.0,182542,31.307958046604792,4218
ENSMUSG00000033066,Gas7,Gene Expression,0.6650603489804834,0.0,0.0,38403,7.211258164221619,3613
ENSMUSG00000022577,Ly6h,Gene Expression,0.6638263950829392,0.0,0.0,87516,13.755143811580568,3830
ENSMUSG00000020431,Adcy1,Gene Expression,0.6630250062226306,0.0,0.0,33519,7.595000626800889,3646
ENSMUSG00000061859,Patj,Gene Expression,0.6615485384226405,0.0,0.0,6528,1.5047090134539924,2085
ENSMUSG00000033061,Resp18,Gene Expression,0.6611198725467603,0.0,0.0,48422,7.341560408611755,3502
ENSMUSG00000019230,Lhx9,Gene Expression,0.6606663859487621,0.0,0.0,4973,0.8764002187344792,1222
ENSMUSG00000029054,Gabrd,Gene Expression,0.6605075257845118,0.0,0.0,10206,2.2191702711373935,2382
ENSMUSG00000020178,Adora2a,Gene Expression,0.6585483551595823,0.0,0.0,1329,0.3449143584565952,355
ENSMUSG00000038255,Neurod2,Gene Expression,0.6575124081062791,0.0,0.0,11473,1.7207342056849373,1761
ENSMUSG00000028222,Calb1,Gene Expression,0.6573717669735796,0.0,0.0,35861,6.166545884280808,3137
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.6568526544920311,0.0,0.0,43487,6.532860633705617,3251
ENSMUSG00000050896,Rtn4rl2,Gene Expression,0.6567241346963285,0.0,0.0,9969,1.501298492422451,1665
ENSMUSG00000032503,Arpp21,Gene Expression,0.6558239093787872,0.0,0.0,66717,12.713599469725207,3926
ENSMUSG00000020486,Sept4,Gene Expression,0.6543458352531245,0.0,0.0,33034,11.990655335119186,4053
ENSMUSG00000006522,Itih3,Gene Expression,0.6533718292738805,0.0,0.0,14865,2.5586636285015505,2453
ENSMUSG00000023964,Calcr,Gene Expression,0.6531142702455522,0.0,0.0,1532,0.17685025377236077,347
ENSMUSG00000033615,Cplx1,Gene Expression,0.6521000716144245,0.0,0.0,131392,28.05386433816487,4131
ENSMUSG00000041773,Enc1,Gene Expression,0.6517308853724976,0.0,0.0,67477,10.684400198402752,3676
ENSMUSG00000022421,Nptxr,Gene Expression,0.6515949101199597,0.0,0.0,61586,9.996066592402713,3705
ENSMUSG00000040612,Ildr2,Gene Expression,0.6504111447467603,0.0,0.0,25039,5.319379452684809,3541
ENSMUSG00000029151,Slc30a3,Gene Expression,0.6474743042653007,0.0,0.0,8880,1.4074219603967184,1691
ENSMUSG00000025867,Cplx2,Gene Expression,0.6466627629671633,0.0,0.0,23570,4.75717229017781,3212
ENSMUSG00000025221,Kcnip2,Gene Expression,0.6460906240923908,0.0,0.0,24541,3.9792075480136813,2781
ENSMUSG00000068696,Gpr88,Gene Expression,0.6454837189691432,0.0,0.0,4622,1.108953088427703,1282
ENSMUSG00000034486,Gbx2,Gene Expression,0.6436263141160552,0.0,0.0,957,0.24136610189639648,441
ENSMUSG00000037625,Cldn11,Gene Expression,0.6432676143985291,0.0,0.0,15482,7.460218094952567,3187
ENSMUSG00000030270,Cpne9,Gene Expression,0.6397694203748672,0.0,0.0,7446,1.5245681678169176,2074
ENSMUSG00000025504,Eps8l2,Gene Expression,0.6384078745892806,0.0,0.0,3144,0.7006982741769077,954
ENSMUSG00000061718,Ppp1r1b,Gene Expression,0.6369833493893322,0.0,0.0,24103,5.66986813111329,3009
ENSMUSG00000027273,Snap25,Gene Expression,0.6366020641557045,0.0,0.0,253707,46.91694526339396,4198
ENSMUSG00000022548,Apod,Gene Expression,0.6356542964245666,0.0,0.0,61147,26.23068659526491,3936
ENSMUSG00000020599,Rgs9,Gene Expression,0.6338872826650043,0.0,0.0,6047,1.2812427179472552,1510
ENSMUSG00000002930,Ppp1r17,Gene Expression,0.6326425975692761,0.0,0.0,1175,0.13810860986507462,283
ENSMUSG00000027985,Lef1,Gene Expression,0.6323891931679642,0.0,0.0,3331,0.8175500927505835,1324
ENSMUSG00000048458,Inka2,Gene Expression,0.6296766896280644,0.0,0.0,17628,3.017536182518531,2638
ENSMUSG00000019828,Grm1,Gene Expression,0.6287442613922621,0.0,0.0,14288,3.0129674651252993,2974
ENSMUSG00000029516,Cit,Gene Expression,0.6283471447674093,0.0,0.0,15103,3.4000603673673133,3254
ENSMUSG00000033721,Vav3,Gene Expression,0.6277477611202014,0.0,0.0,4171,0.9231203908899107,1523
ENSMUSG00000026344,Lypd1,Gene Expression,0.6259900332149987,0.0,0.0,32852,4.990777313902079,2818
ENSMUSG00000040148,Hmx3,Gene Expression,0.6258042323536456,0.0,0.0,527,0.05837284211184742,206
ENSMUSG00000019194,Scn1b,Gene Expression,0.6252587943580769,0.0,0.0,99894,19.682574083254757,4147
ENSMUSG00000048483,Zdhhc22,Gene Expression,0.6250894394502717,0.0,0.0,13134,2.7596509700887437,2958
ENSMUSG00000019986,Ahi1,Gene Expression,0.6237844230608487,0.0,0.0,48928,7.342971048275421,3612
ENSMUSG00000045333,Zfp423,Gene Expression,0.6209656580066965,0.0,0.0,12183,2.672648270712616,2841
ENSMUSG00000033579,Fa2h,Gene Expression,0.6205508297416523,0.0,0.0,11173,5.083323297057791,2939
ENSMUSG00000029769,Ccdc136,Gene Expression,0.6201912433936276,0.0,0.0,15358,3.3354237770350763,3153
ENSMUSG00000031654,Cbln1,Gene Expression,0.619000963756719,0.0,0.0,7233,1.2724066134037724,1389
ENSMUSG00000038872,Zfhx3,Gene Expression,0.6187281579549485,0.0,0.0,8074,1.7744733639380164,2303
ENSMUSG00000046480,Scn4b,Gene Expression,0.6177897677571837,0.0,0.0,8826,2.0542982258758262,1989
ENSMUSG00000056486,Chn1,Gene Expression,0.6168245804807995,0.0,0.0,121995,20.44576455531129,4114
ENSMUSG00000005716,Pvalb,Gene Expression,0.6155903476454264,0.0,0.0,24797,5.8429688802727275,2626
ENSMUSG00000062760,Shisal1,Gene Expression,0.6151264044735353,0.0,0.0,11590,2.5175001015170673,2793
ENSMUSG00000026787,Gad2,Gene Expression,0.6151026486059306,0.0,0.0,36304,7.558544312461898,3123
ENSMUSG00000043079,Synpo,Gene Expression,0.6150968575270916,0.0,0.0,23407,4.250050071464728,3165
ENSMUSG00000020660,Pomc,Gene Expression,0.6147213076626674,0.0,0.0,1331,0.10860485543344668,92
ENSMUSG00000003949,Hlf,Gene Expression,0.6145063044031299,0.0,0.0,28039,5.989953550978673,3688
ENSMUSG00000029436,Mmp17,Gene Expression,0.6138834854536916,0.0,0.0,22198,3.7319253837663218,2933
ENSMUSG00000020950,Foxg1,Gene Expression,0.6136315288658403,0.0,0.0,8725,1.6841169644637688,2122
ENSMUSG00000020932,Gfap,Gene Expression,0.6110645928115757,0.0,0.0,13550,6.435799957285206,2693
ENSMUSG00000049044,Rapgef4,Gene Expression,0.6107286287868545,0.0,0.0,38829,10.654553666418092,4153
ENSMUSG00000015843,Rxrg,Gene Expression,0.6096237111328636,0.0,0.0,3905,0.6654196576638939,1164
ENSMUSG00000029223,Uchl1,Gene Expression,0.60823119170671,0.0,0.0,231303,42.754477282938936,4202
ENSMUSG00000038805,Six3,Gene Expression,0.6077933146754817,0.0,0.0,4150,1.0458771250061392,970
ENSMUSG00000061762,Tac1,Gene Expression,0.6068608417516077,0.0,0.0,8755,1.5436598732062563,1434
ENSMUSG00000032224,Fam81a,Gene Expression,0.6067102553962963,0.0,0.0,22355,4.111644011656106,3212
ENSMUSG00000037681,Esyt3,Gene Expression,0.6063535066804583,0.0,0.0,1921,0.22789605855735093,562
ENSMUSG00000025889,Snca,Gene Expression,0.6062009629715328,0.0,0.0,39458,6.30997993022646,3376
ENSMUSG00000028266,Lmo4,Gene Expression,0.6050664231600794,0.0,0.0,39812,7.103091657173388,3747
ENSMUSG00000022623,Shank3,Gene Expression,0.6045532302076346,0.0,0.0,34486,8.22021936564802,3892
ENSMUSG00000005611,Mrvi1,Gene Expression,0.6038690384062814,0.0,0.0,2567,0.6621323392332503,1107
ENSMUSG00000032589,Bsn,Gene Expression,0.6036847501983009,0.0,0.0,55477,10.60110788908496,3970
ENSMUSG00000072214,Sept5,Gene Expression,0.6034133961030511,0.0,0.0,171231,32.198453596781064,4207
ENSMUSG00000059173,Pde1a,Gene Expression,0.6033316394260521,0.0,0.0,12208,2.0289354227636305,2329
ENSMUSG00000028931,Kcnab2,Gene Expression,0.6032588855474275,0.0,0.0,73548,15.617463152190535,4099
ENSMUSG00000043439,Epop,Gene Expression,0.6028821289279899,0.0,0.0,5565,1.175741917698673,1775
ENSMUSG00000097929,Tunar,Gene Expression,0.6026157767677526,0.0,0.0,9764,2.0314593219445856,2538
ENSMUSG00000022425,Enpp2,Gene Expression,0.6025376145552461,0.0,0.0,42673,9.725324440011004,3798
ENSMUSG00000044349,Snhg11,Gene Expression,0.6015799389610357,0.0,0.0,238051,44.72220403322682,4179
ENSMUSG00000020848,Doc2b,Gene Expression,0.6004168071100601,0.0,0.0,12912,2.1713354038227695,2213
ENSMUSG00000066189,Cacng3,Gene Expression,0.5994846730395369,0.0,0.0,15762,2.7316126555625675,2731
ENSMUSG00000071379,Hpcal1,Gene Expression,0.599011776453791,0.0,0.0,12849,2.0005351788167265,2293
ENSMUSG00000059456,Ptk2b,Gene Expression,0.5984899185786487,0.0,0.0,36629,5.831278081207907,3322
ENSMUSG00000029544,Cabp1,Gene Expression,0.5984680424466456,0.0,0.0,19958,3.5632334951954134,3013
ENSMUSG00000030302,Atp2b2,Gene Expression,0.5966128489736504,0.0,0.0,73203,14.749422081471632,4016
ENSMUSG00000025582,Nptx1,Gene Expression,0.595570763683071,0.0,0.0,14453,2.1558815131704097,2247
ENSMUSG00000027562,Car2,Gene Expression,0.5955404382353163,0.0,0.0,30721,11.264288420035934,4147
ENSMUSG00000010080,Epn3,Gene Expression,0.5953763856843961,0.0,0.0,2529,0.5872352793825906,1061
ENSMUSG00000076439,Mog,Gene Expression,0.5950893542842098,0.0,0.0,8762,3.9906787425093166,2697
ENSMUSG00000047907,Tshz2,Gene Expression,0.5945016443743029,0.0,0.0,10033,1.993513642890239,2473
ENSMUSG00000037166,Ppp1r14a,Gene Expression,0.5939636338045734,0.0,0.0,10518,4.410744791881795,3030
ENSMUSG00000021685,Otp,Gene Expression,0.593024538541824,0.0,0.0,1421,0.16758484422169193,333
ENSMUSG00000046844,Vat1l,Gene Expression,0.5929032881537736,0.0,0.0,12762,2.0254576726736726,2221
ENSMUSG00000064201,Krt2,Gene Expression,0.5927603064022448,0.0,0.0,382,0.046205510247683546,120
ENSMUSG00000015090,Ptgds,Gene Expression,0.5914833973893286,0.0,0.0,132173,49.665525713170844,4201
ENSMUSG00000033161,Atp1a1,Gene Expression,0.5912374011440766,0.0,0.0,70886,13.1475430042877,4159
ENSMUSG00000020866,Cacna1g,Gene Expression,0.5911565388944662,0.0,0.0,11394,2.4202116869326127,2910
ENSMUSG00000054889,Dsp,Gene Expression,0.5909286043672315,0.0,0.0,1713,0.19683700423512115,227
ENSMUSG00000032060,Cryab,Gene Expression,0.5906660007090209,0.0,0.0,18833,7.2526715507723605,3847
ENSMUSG00000032936,Camkv,Gene Expression,0.5901549784046869,0.0,0.0,53196,9.048313125437973,3730
ENSMUSG00000041708,Mpped1,Gene Expression,0.589104379877918,0.0,0.0,7257,1.4480253639046838,2101
ENSMUSG00000060371,Caln1,Gene Expression,0.5872590976422218,0.0,0.0,18562,3.426090187923372,2853
ENSMUSG00000038370,Pcp4l1,Gene Expression,0.5871913442863488,0.0,0.0,11577,2.914456897994417,2872
ENSMUSG00000030226,Lmo3,Gene Expression,0.5870281287260677,0.0,0.0,13659,2.1056804212826177,2335
ENSMUSG00000053963,Stum,Gene Expression,0.5852753977434364,0.0,0.0,18467,3.4631497028159686,3028
ENSMUSG00000020868,Xylt2,Gene Expression,0.5846813858087364,0.0,0.0,5514,1.2563352309007472,2088
ENSMUSG00000010803,Gabra1,Gene Expression,0.5841406065955804,0.0,0.0,59609,11.333663778267631,3837
ENSMUSG00000055430,Nap1l5,Gene Expression,0.5827517518615238,0.0,0.0,101393,17.720464927788232,4149
ENSMUSG00000030785,Cox6a2,Gene Expression,0.5811917076213655,0.0,0.0,5988,1.4340460821166672,1956
ENSMUSG00000025203,Scd2,Gene Expression,0.581095560929967,0.0,0.0,84994,24.71135517087439,4293
ENSMUSG00000057719,Sh3rf2,Gene Expression,0.5808315338641757,0.0,0.0,570,0.14659513322760612,236
ENSMUSG00000056972,Magel2,Gene Expression,0.580156856515519,0.0,0.0,1933,0.2476721542733873,646
ENSMUSG00000075316,Scn9a,Gene Expression,0.5796514210209239,0.0,0.0,2279,0.2814467391665149,695
ENSMUSG00000026463,Atp2b4,Gene Expression,0.5792540571800953,0.0,0.0,9975,1.731126105091396,2194
ENSMUSG00000033585,Ndn,Gene Expression,0.578295858805747,0.0,0.0,72656,11.639114752366039,4004
ENSMUSG00000066357,Wdr6,Gene Expression,0.5779944346783712,0.0,0.0,22593,3.5477092453955783,3223
ENSMUSG00000036564,Ndrg4,Gene Expression,0.5775127480992873,0.0,0.0,172394,34.36289381227807,4170
ENSMUSG00000021719,Rgs7bp,Gene Expression,0.5770519193945554,0.0,0.0,37046,7.633182879109277,3810
ENSMUSG00000001175,Calm1,Gene Expression,0.5761986160913751,0.0,0.0,291631,58.81339066888448,4293
ENSMUSG00000022054,Nefm,Gene Expression,0.5761220195265998,0.0,0.0,40821,8.238130165358346,3636
ENSMUSG00000004961,Syt5,Gene Expression,0.5752984159662059,0.0,0.0,20935,3.369306327384962,3000
ENSMUSG00000027199,Gatm,Gene Expression,0.5744275640508607,0.0,0.0,20811,8.056398434643546,3991
ENSMUSG00000035200,Chrnb4,Gene Expression,0.5743119908819392,0.0,0.0,258,0.02817723281074038,58
ENSMUSG00000030898,Cckbr,Gene Expression,0.5742150505853717,0.0,0.0,5668,1.038806250217413,1825
ENSMUSG00000063659,Zbtb18,Gene Expression,0.5740500712434979,0.0,0.0,51486,8.439096175941364,3873
ENSMUSG00000020396,Nefh,Gene Expression,0.5738419217171616,0.0,0.0,10668,2.3525358509515293,2674
ENSMUSG00000032259,Drd2,Gene Expression,0.5736293205417405,0.0,0.0,2251,0.5387993553201587,779
ENSMUSG00000041571,Selenow,Gene Expression,0.5736058112871361,0.0,0.0,169170,37.056675546494205,4296
ENSMUSG00000038418,Egr1,Gene Expression,0.5731978367000428,0.0,0.0,11835,2.144333125227658,2535
ENSMUSG00000050541,Adra1b,Gene Expression,0.5731206769615813,0.0,0.0,5910,1.3365967875521243,2123
ENSMUSG00000038729,Pakap,Gene Expression,0.5699901193556713,0.0,0.0,14986,3.3600244366637444,3362
ENSMUSG00000018470,Kcnab3,Gene Expression,0.5696337800811107,0.0,0.0,9629,1.9171361122814732,2297
ENSMUSG00000040125,Gpr26,Gene Expression,0.5696220158017851,0.0,0.0,9395,1.6473406469828071,2354
ENSMUSG00000052889,Prkcb,Gene Expression,0.5691208006640003,0.0,0.0,36755,7.24101560388507,3846
ENSMUSG00000031517,Gpm6a,Gene Expression,0.5686468834208794,0.0,0.0,174627,31.498684614673685,4261
ENSMUSG00000024245,Tmem178,Gene Expression,0.5675939961793589,0.0,0.0,7377,1.3124666439930168,1901
ENSMUSG00000029467,Atp2a2,Gene Expression,0.5668971425921349,0.0,0.0,133348,27.341660698240577,4251
ENSMUSG00000025400,Tac2,Gene Expression,0.5663910135309511,0.0,0.0,7588,0.9747489094573009,891
ENSMUSG00000007207,Stx1a,Gene Expression,0.5661900317069866,0.0,0.0,11452,2.1245045559945157,2651
ENSMUSG00000027500,Stmn2,Gene Expression,0.5661460677783159,0.0,0.0,99715,17.833210701149216,4056
ENSMUSG00000061751,Kalrn,Gene Expression,0.5660503039788863,0.0,0.0,48883,8.820763278747915,3888
ENSMUSG00000049556,Lingo1,Gene Expression,0.5658024386791456,0.0,0.0,29990,5.355456041260241,3574
ENSMUSG00000056708,Ier5,Gene Expression,0.5643344963531037,0.0,0.0,10210,1.8991026823176587,2470
ENSMUSG00000052301,Doc2a,Gene Expression,0.5642806410363783,0.0,0.0,8081,1.2987650659934982,2127
ENSMUSG00000022949,Clic6,Gene Expression,0.5639020172335886,0.0,0.0,4663,0.7670304926779825,733
ENSMUSG00000020524,Gria1,Gene Expression,0.5636391404529231,0.0,0.0,42878,6.7705571601133725,3698
ENSMUSG00000062542,Syt9,Gene Expression,0.5630553640659888,0.0,0.0,5429,1.0765510821716286,1774
ENSMUSG00000067889,Sptbn2,Gene Expression,0.5628490498179856,0.0,0.0,37775,7.402196754515469,3875
ENSMUSG00000045915,Ccdc42,Gene Expression,0.5625161178988838,0.0,0.0,953,0.12446916972347113,361
ENSMUSG00000004366,Sst,Gene Expression,0.5612763160458463,0.0,0.0,58354,10.931439252142477,2896
ENSMUSG00000053819,Camk2d,Gene Expression,0.5600928381845396,0.0,0.0,29592,5.21708529625072,3591
ENSMUSG00000031111,Igsf1,Gene Expression,0.5600910327839428,0.0,0.0,4641,0.7382514252654021,1365
ENSMUSG00000027419,Pcsk2,Gene Expression,0.5600117530094845,0.0,0.0,49492,9.19647089073558,3804
ENSMUSG00000024743,Syt7,Gene Expression,0.5580642506758751,0.0,0.0,41684,8.28351726793514,3908
ENSMUSG00000034825,Nrip3,Gene Expression,0.5576498188255086,0.0,0.0,15078,3.138236450706385,3135
